# simp: 
# trad: 
# prop: 
# ./table/freq_simp.txt total freq: 0
# ./table/freq_simp.txt total freq: 0
指	299751
张	299750
报	299749
论	299748
员	299747
义	299746
放	299745
电	299744
至	299743
五	299742
系	299741
难	299740
命	299739
建	299738
尔	299737
件	299736
死	299735
保	299734
完	299733
许	299732
题	299731
场	299730
空	299729
计	299728
怎	299727
光	299726
管	299725
非	299724
德	299723
强	299722
量	299721
决	299720
形	299719
像	299718
期	299717
资	299716
队	299715
清	299714
务	299713
嗯	299712
统	299711
书	299710
市	299709
司	299708
师	299707
住	299706
即	299705
克	299704
带	299703
飞	299702
南	299701
区	299700
李	299699
则	299698
觉	299697
交	299696
社	299695
今	299694
基	299693
北	299692
展	299691
传	299690
连	299689
叫	299688
治	299687
路	299686
万	299685
告	299684
科	299683
呢	299682
思	299681
达	299680
记	299679
转	299678
望	299677
边	299676
快	299675
风	299674
色	299673
该	299672
界	299671
象	299670
权	299669
拉	299668
设	299667
且	299666
取	299665
干	299664
收	299663
步	299662
领	299661
林	299660
根	299659
往	299658
亲	299657
极	299656
求	299655
未	299654
每	299653
程	299652
式	299651
兵	299650
据	299649
类	299648
言	299647
规	299646
吧	299645
品	299644
确	299643
观	299642
城	299641
虽	299640
失	299639
格	299638
远	299637
办	299636
元	299635
运	299634
令	299633
共	299632
似	299631
准	299630
请	299629
武	299628
士	299627
改	299626
英	299625
术	299624
车	299623
石	299622
深	299621
联	299620
争	299619
吗	299618
院	299617
轻	299616
火	299615
罗	299614
百	299613
夫	299612
离	299611
花	299610
近	299609
切	299608
识	299607
造	299606
组	299605
流	299604
算	299603
布	299602
导	299601
早	299600
找	299599
候	299598
满	299597
服	299596
官	299595
整	299594
爱	299593
字	299592
持	299591
跟	299590
突	299589
影	299588
消	299587
随	299586
吃	299585
商	299584
证	299583
单	299582
议	299581
越	299580
存	299579
击	299578
精	299577
济	299576
始	299575
台	299574
黑	299573
调	299572
需	299571
支	299570
杀	299569
团	299568
功	299567
具	299566
华	299565
脸	299564
府	299563
集	299562
周	299561
青	299560
红	299559
双	299558
九	299557
八	299556
片	299555
半	299554
容	299553
曾	299552
啊	299551
阿	299550
落	299549
显	299548
除	299547
尽	299546
党	299545
照	299544
众	299543
备	299542
复	299541
陈	299540
断	299539
价	299538
约	299537
写	299536
包	299535
级	299534
另	299533
病	299532
质	299531
称	299530
倒	299529
六	299528
江	299527
绝	299526
敌	299525
黄	299524
技	299523
朝	299522
派	299521
线	299520
站	299519
究	299518
装	299517
亚	299516
首	299515
刚	299514
示	299513
视	299512
况	299511
增	299510
谈	299509
惊	299508
古	299507
史	299506
谁	299505
引	299504
须	299503
七	299502
息	299501
研	299500
际	299499
器	299498
易	299497
留	299496
推	299495
坐	299494
房	299493
广	299492
注	299491
查	299490
语	299489
念	299488
若	299487
奇	299486
紧	299485
企	299484
希	299483
委	299482
响	299481
号	299480
参	299479
势	299478
历	299477
剑	299476
攻	299475
冷	299474
投	299473
哪	299472
农	299471
专	299470
图	299469
考	299468
选	299467
终	299466
微	299465
皇	299464
土	299463
局	299462
星	299461
足	299460
刘	299459
甚	299458
严	299457
医	299456
男	299455
营	299454
乎	299453
仅	299452
父	299451
拿	299450
孩	299449
答	299448
费	299447
标	299446
依	299445
兴	299444
低	299443
千	299442
仍	299441
急	299440
护	299439
竟	299438
某	299437
较	299436
防	299435
列	299434
讲	299433
破	299432
客	299431
施	299430
故	299429
血	299428
节	299427
云	299426
龙	299425
钱	299424
苏	299423
母	299422
伤	299421
举	299420
族	299419
按	299418
维	299417
修	299416
